No	TMNo	EnNo	Name	INOUT	Mode	DateTime
1	1	302		0	0	2017/07/10 20:31:57
2	1	302		0	0	2017/07/10 20:34:24
3	1	302		0	0	2017/07/11 12:16:03
4	1	302		0	0	2017/07/11 12:16:12
5	1	0		0	2	2017/07/11 13:47:06
6	1	0		0	2	2017/07/11 13:50:40
7	1	0		0	2	2017/07/11 13:56:32
8	1	302		0	0	2017/07/11 14:33:22
9	1	302		0	0	2017/07/11 14:34:07
10	1	302		0	0	2017/07/11 14:35:18
11	1	302		0	0	2017/07/11 14:36:33
12	1	302		0	0	2017/07/11 14:36:35
13	1	302		0	0	2017/07/11 14:40:26
14	1	0		0	2	2017/07/11 14:40:49
15	1	302		0	0	2017/07/11 16:01:31
16	1	302		0	0	2017/07/11 16:03:16
17	1	302		0	0	2017/07/11 16:03:28
18	1	0		0	2	2017/07/11 16:03:34
19	1	302		0	0	2017/07/11 16:03:55
20	1	302		0	0	2017/07/11 16:04:33
21	1	302		0	0	2017/07/11 20:55:56
22	1	0		0	2	2017/07/15 14:34:06
23	1	0		0	2	2017/07/15 14:34:34
24	1	0		0	2	2017/07/15 14:34:36
25	1	0		0	2	2017/07/15 14:34:51
26	1	302		0	0	2017/07/15 14:35:58
27	1	302		1	0	2017/07/15 14:50:00
28	1	302		1	0	2017/07/15 14:50:08
29	1	0		0	2	2017/07/15 14:50:42
30	1	302		1	0	2017/07/15 14:50:48
31	1	302		0	0	2017/08/01 14:08:39
32	1	302		0	0	2017/08/01 14:12:46
33	1	288		0	6	2017/08/01 14:16:51
34	1	288		0	6	2017/08/01 14:17:01
35	1	302		0	6	2017/08/01 14:18:38
36	1	302		0	6	2017/08/01 14:18:47
37	1	302		0	6	2017/08/01 11:51:45
38	1	302		0	6	2017/08/01 11:51:50
39	1	288		0	6	2017/08/01 11:52:03
40	1	288		0	6	2017/08/01 11:53:08
41	1	288		0	6	2017/08/01 11:53:15
